hours,jd,fid,H,sigmapsf,heliodist
18288.037221595645,2459129.9278009,1,7.796086342402372,0.1713201850652694,14.25888656712
18289.521945599467,2459129.9896644,2,7.46626436510575,0.102803640067577,14.18888893074
18312.469444803894,2459130.9458102,2,7.20814604509019,0.128329589962959,14.17204186995
18407.086943998933,2459134.888206,1,7.8871596993244,0.1564544588327407,14.25530012654
18408.52999920398,2459134.9483333,2,7.46524073608366,0.121094755828381,14.19601320937
18408.553055997934,2459134.949294,2,7.42921430256344,0.0749757438898087,14.1967085268
18456.699165601283,2459136.9553819,1,8.13286713527334,0.119712054729462,14.18612658545
18456.98166719824,2459136.9671528,2,7.44190995454614,0.10626046359539,14.18611281302
18526.74277679622,2459139.8738657,2,7.33451449126813,0.092154286801815,14.22945828259
18527.511945594106,2459139.9059144,1,7.92076343650882,0.150436192750931,14.22936107769
18574.446945603937,2459141.8615394,2,7.2323652410428,0.0930157601833344,14.26465758598
18576.13861200213,2459141.9320255,1,7.92761957399376,0.131906777620316,14.26391219788
18622.09388880059,2459143.8468287,2,7.23271706925428,0.0879005715250969,14.29229265793
18623.025554403663,2459143.8856481,1,7.73419640798154,0.101211249828339,14.29160094285
18814.53444479406,2459151.8651852,2,7.16610298071635,0.100707195699215,14.27196665311
18815.05888800323,2459151.887037,1,7.66147362834664,0.208858609199524,14.27193473283
18912.51805439964,2459155.9478356,2,7.27007891817088,0.0921574756503105,14.23223176024
18959.136945594106,2459157.8902894,1,7.812908578735616,0.1963845044374466,14.2387220671
19125.5469456017,2459164.8240394,2,7.28841830925349,0.100387677550316,14.27048303136
19127.991388801485,2459164.9258912,1,7.56067018493307,0.0995053872466087,14.26906914149
19175.65972319618,2459166.9120718,1,7.62676634010163,0.103944040834904,14.27484100995
19176.06805440411,2459166.9290856,2,7.12163294570125,0.0837190300226212,14.27407734119
19221.53222160414,2459168.8234259,2,7.18626100598645,0.08219163864851,14.2430562463
19222.71000000089,2459168.8725,1,7.79561663568868,0.108873628079891,14.24304051699
19268.90500079468,2459170.7972917,2,7.18257830023395,0.0896216705441475,14.19247327289
19272.16027679667,2459170.9329282,1,7.94810735069476,0.124807208776474,14.1924295458
19389.1041671969,2459175.8055903,1,7.47279376619683,0.118974275887012,14.26759584471
19390.688332803547,2459175.8715972,2,7.1011525017864,0.122448690235615,14.26535925886
19439.516388002783,2459177.9060995,1,7.54349055857411,0.0986820310354233,14.2726155078
19485.62944560125,2459179.8274769,2,7.18163424154675,0.072149321436882,14.21089594174
